e,east
w,west
s,south
n,north
nw,northwest
sw,southwest
ne,northeast
sw,southwest
alley,aly
annex,anx
arcade,arc
avenue,ave
bayou,yu
beach,bch
bend,bnd
bluff,blf
bottom,btm
boulevard,blvd
branch,br
bridge,brg
brook,brk
burg,bg
bypass,byp
camp,cp
canyon,cyn
cape,cpe
causeway,cswy
center,ctr
circle,cir
cliffs,clfs
club,clb
corner,cor
corners,cors
course,crse
court,ct
courts,cts
cove,cv
creek,crk
crescent,cres
crossing,xing
dale,dl
dam,dm
divide,dv
drive,dr
estates,est
expressway,expy
extension,ext
falls,fls
ferry,fry
field,fld
fields,flds
flats,flt
ford,for
forest,frst
forge,fgr
forks,frks
fort,ft
freeway,fwy
gardens,gdns
gateway,gtwy
glen,gln
green,gn
grove,grv
harbor,hbr
haven,hvn
heights,hts
highway,hwy
hill,hl
hills,hls
hollow,holw
inlet,inlt
island,is
islands,iss
junction,jct
key,cy
knolls,knls
lake,lk
lakes,lks
landing,lndg
lane,ln
light,lgt
loaf,lf
locks,lcks
lodge,ldg
manor,mnr
meadows,mdws
mill,ml
mills,mls
mission,msn
mount,mt
mountain,mtn
neck,nck
orchard,orch
parkway,pky
pines,pnes
place,pl
plain,pln
plains,plns
plaza,plz
point,pt
port,prt
prairie,pr
radial,radl
ranch,rnch
rapids,rpds
rest,rst
ridge,rdg
river,riv
road,rd
shoal,shl
shoals,shls
shore,shr
shores,shrs
spring,spg
springs,spgs
square,sq
station,sta
stravenues,stra
stream,strm
street,st
summit,smt
terrace,ter
trace,trce
track,trak
trail,trl
trailer,trlr
tunnel,tunl
turnpike,tpke
union,un
valley,vly
viaduct,via
view,vw
village,vlg
ville,vl
vista,vis
wells,wls
